NAME,RS_TOTAL,RS,RS_AVAILABLE,OBO,TC,RT,RS_W_A,RS_W_N,RS_T_A
'Til Death Do Us Part,7301,107,7194,1521803,562,5,20,26,61
12 Strong,69915,1458,68376,15815025,3002,55,343,291,824
"15:17 to Paris, The",609,15,582,12554286,3042,25,5,5,5
Action Point,2061,49,2012,2390164,2032,17,8,14,27
Adrift (2018),28782,938,27844,11603039,3015,70,164,192,582
All Saints,17967,791,17176,1514278,846,93,500,119,172
American Assassin,42530,1591,40813,14846778,3154,34,254,332,1005
American Made,69770,1897,67657,16776390,3024,87,236,450,1211
Annabelle: Creation,74288,8141,66007,35006404,3502,67,1305,1985,4851
Annihilation,42222,2606,39466,11071584,2012,86,482,695,1429
Ant-Man and the Wasp,267853,53920,213933,75812205,4206,86,12371,13957,27592
Bad Samaritan,16622,90,16532,1726868,2007,53,14,16,60
Birth of the Dragon,29387,987,28354,2702430,1618,17,448,70,469
BlacKkKlansman,39728,3203,36525,10845330,1512,97,606,851,1746
Blade Runner 2049,173419,25961,147011,32753122,4058,89,7631,8553,9777
Blockers,50216,2033,48150,20556350,3379,82,275,556,1202
Blumhouse's Truth or Dare,45802,1562,44168,18667855,3029,15,284,401,877
Book Club,36268,1523,34745,13582231,2781,5,297,439,787
Breaking In (2018),36146,1742,34332,17630285,2537,26,296,455,991
Chappaquiddick,12882,323,12559,5765854,1560,79,27,85,211
Coco (2017),62937,6896,55962,50802605,3987,97,1381,1824,3691
"Commuter, The",44868,1317,43491,15795899,2892,57,158,232,927
Daddy's Home 2,70715,1666,68950,29651193,3575,17,227,359,1080
"Dark Tower, The",89088,7769,81171,19153698,3451,18,1933,2189,3647
"Darkest Minds, The",35051,1625,33426,5842609,3127,18,339,432,854
Deadpool 2,272724,84779,187754,125507153,4349,82,21243,26466,37070
Death Wish (2018),39209,1057,38048,13010267,2847,17,145,236,676
Death of a Nation,10772,522,10250,2356522,1005,5,118,144,260
Den of Thieves,38098,2046,35992,15206108,2432,41,246,411,1389
Detroit (2017),48059,1480,46453,7125601,3007,84,270,349,861
"Disaster Artist, The",25676,2575,23041,6366243,840,93,567,717,1291
Disney's Christopher Robin,63723,6510,57213,24585139,3602,70,1482,1824,3204
Downsizing,24605,913,23608,7670130,2668,51,158,193,562
Early Man,18444,196,18248,4260148,2494,81,15,23,158
"Equalizer 2, The",121428,11020,110290,36011640,3388,50,1554,2052,7414
Every Day (2018),15795,155,15628,3016149,1667,63,37,38,80
Father Figures,17805,271,17510,5479518,2902,22,21,39,211
Ferdinand,26728,1746,24966,13401586,3621,71,400,510,836
Fifty Shades Freed,168521,27034,141144,38560195,3768,11,7823,8614,10597
"First Purge, The",51688,11253,40435,17374280,3031,54,1870,2790,6593
Flatliners (2017),1437,22,1405,6574326,2552,5,2,2,18
"Foreigner, The",32904,1447,31404,13113024,2515,59,192,317,938
