MOVIE,OBO,SEAT,SCRN,RT
MAMA,32147815,27,26,1
ZERO DARK THIRTY,24438936,44,34,4
TEXAS CHAINSAW 3D,21744470,61,27,4
HANSEL & GRETEL: WITCH HUNTERS,19690956,60,31,3
A HAUNTED HOUSE,18101682,36,36,1
GANGSTER SQUAD,17070347,54,40,3
BROKEN CITY,9549459,36,31,2
THE LAST STAND,7213327,50,25,2
PARKER,7008222,25,30,0
MOVIE 43,4805878,36,33,1
PROMISED LAND (2012),4049911,33,25,1
IDENTITY THIEF,34551025,58,38,5
A GOOD DAY TO DIE HARD,28640657,74,47,11
SAFE HAVEN,24469155,52,27,3
ESCAPE FROM PLANET EARTH,21101976,46,35,2
