Title,Studio,Genre,Rating,Release Date,DTR,Day of Week,Organic Conversation,Organic Intent,Humor,Group Dynamic,Paid Push,Twitter Mentions,Facebook PTAT,Wikipedia Desktop,Wikipedia All,YouTube Views,Theater Count,OBO,Holiday
The Woman in Black: Angel of Death,Relativity Media,Horror,PG-13,1/2/2015,1,Fri,2265,423,189,67,254,1535,122609,134804,NA,NA,2602,15027415,
Inherent Vice,Warner Bros.,Human Interest Drama,R,1/9/2015,1,Fri,4007,693,837,74,315,2251,10164,497528,NA,NA,645,2773260,
Selma,Paramount,Human Interest Drama,PG-13,1/9/2015,1,Fri,10600,1728,614,68,242,11669,83439,393247,NA,NA,2179,11307394,
Taken 3,20th Century Fox,Suspense/Thriller,PG-13,1/9/2015,1,Fri,27904,6941,1197,617,457,44308,269864,582596,NA,NA,3594,39201657,
American Sniper,Warner Bros.,Action Drama,R,1/16/2015,1,Fri,18470,5006,861,669,685,21716,815422,1456374,NA,NA,3555,89269066,Martin Luther King Jr. Day
Blackhat,Universal,Suspense/Thriller,R,1/16/2015,1,Fri,2759,289,177,20,105,2285,112124,248327,NA,NA,2567,3901815,Martin Luther King Jr. Day
Foxcatcher,Sony Pictures Classics,Human Interest Drama,R,1/16/2015,1,Fri,5006,858,415,42,100,3540,4779,1420489,NA,NA,759,980000,Martin Luther King Jr. Day
Paddington,The Weinstein Company,Family,PG,1/16/2015,1,Fri,16655,2709,785,290,3929,22060,68120,289336,NA,NA,3303,18966676,Martin Luther King Jr. Day
The Wedding Ringer,Sony Pictures,Human Interest Comedy,R,1/16/2015,1,Fri,2266,650,918,36,392,2571,243920,138637,NA,NA,3003,20649306,Martin Luther King Jr. Day
Mortdecai,Lionsgate Films,Zany Comedy,R,1/23/2015,1,Fri,3666,624,421,36,502,3727,43735,366650,NA,NA,2648,4200586,
Strange Magic,Disney,Family,PG,1/23/2015,1,Fri,1274,65,278,15,102,671,11883,109471,NA,NA,3020,5504441,
The Boy Next Door,Universal,Suspense/Thriller,R,1/23/2015,1,Fri,3821,929,247,77,353,5898,163154,332751,NA,NA,2602,14910105,
A Most Violent Year,A24 Films,Suspense/Thriller,R,1/30/2015,1,Fri,2781,450,424,32,118,1355,2597,299147,NA,NA,818,1512224,
Black or White,Relativity Media,Human Interest Drama,PG-13,1/30/2015,1,Fri,4531,839,306,26,162,1464,135182,86038,NA,NA,1823,6213362,
Project Almanac,Paramount,Suspense/Thriller,PG-13,1/30/2015,1,Fri,1044,236,72,21,173,1754,103460,219184,NA,NA,2893,8310252,
The Loft,Open Road Films,Suspense/Thriller,R,1/30/2015,1,Fri,2197,496,98,19,100,968,56056,150093,NA,NA,1841,2747342,
Jupiter Ascending,Warner Bros.,Action Drama,PG-13,2/6/2015,1,Fri,4860,966,268,52,796,4535,198325,844609,NA,NA,3181,18372372,
Seventh Son,Universal,Action Adventure,PG-13,2/6/2015,1,Fri,2552,463,138,15,132,1132,119296,520783,NA,NA,2875,7217640,
The SpongeBob Movie: Sponge Out of Water,Paramount,Family,PG,2/6/2015,1,Fri,45876,7332,5178,299,1151,43107,440905,270553,NA,NA,3641,55365012,
Fifty Shades of Grey,Universal,Romantic Drama,R,2/13/2015,1,Fri,107974,19390,8000,2541,3865,131495,3745914,1411816,NA,NA,3646,85171450,President's Day
Kingsman: The Secret Service,20th Century Fox,Action Drama,R,2/13/2015,1,Fri,14131,2897,678,187,876,17673,100564,635462,NA,NA,3204,36206331,President's Day
Hot Tub Time Machine 2,Paramount,Zany Comedy,R,2/20/2015,1,Fri,4014,521,605,18,325,3107,110616,237176,NA,NA,2880,5963324,
"McFarland, USA",Disney,Human Interest Drama,PG,2/20/2015,1,Fri,2799,550,157,22,317,2481,32159,159144,NA,NA,2755,11020798,
Still Alice,Sony Pictures Classics,Human Interest Drama,PG-13,2/20/2015,1,Fri,5470,806,504,44,145,6657,NA,463257,NA,NA,765,2166967,
The DUFF,Lionsgate Films,Human Interest Comedy,PG-13,2/20/2015,1,Fri,4125,870,480,55,410,3649,133643,227884,NA,NA,2575,10809149,
Focus (2015),Warner Bros.,Human Interest Comedy,R,2/27/2015,1,Fri,NA,NA,NA,NA,NA,NA,99235,385699,NA,NA,3323,18685137,
The Lazarus Effect,Relativity Media,Horror,PG-13,2/27/2015,1,Fri,1470,501,70,28,57,882,129722,144998,NA,NA,2666,10203437,
Chappie,Sony Pictures,Action Drama,R,3/6/2015,1,Fri,11936,2018,399,125,801,13258,295980,622716,NA,NA,3201,13346782,
The Second Best Exotic Marigold Hotel,Fox Searchlight Pictures,Human Interest Comedy,PG,3/6/2015,1,Fri,2122,302,194,14,139,799,42372,183412,NA,NA,1573,8540370,
Unfinished Business,20th Century Fox,Human Interest Comedy,R,3/6/2015,1,Fri,2777,351,315,6,134,3482,7153,120601,NA,NA,2777,4772613,
Cinderella (2015),Disney,Family,PG,3/13/2015,1,Fri,54126,10644,3611,442,1289,28837,647501,783142,NA,NA,3845,67877361,
Run All Night,Warner Bros.,Suspense/Thriller,R,3/13/2015,1,Fri,1226,163,87,6,130,1865,48374,178185,NA,NA,3171,11012305,
Do You Believe?,Pure Flix Entertainment,Human Interest Drama,PG-13,3/20/2015,1,Fri,1056,101,51,8,26,428,280778,29625,NA,NA,1320,3591282,
The Divergent Series: Insurgent,Lionsgate Films,Action Drama,PG-13,3/20/2015,1,Fri,48476,7312,2924,307,1263,62405,957629,632012,NA,NA,3875,52263680,
The Gunman,Open Road Films,Action Drama,R,3/20/2015,1,Fri,2346,231,110,10,161,2128,23860,149804,NA,NA,2816,5028702,
Get Hard,Warner Bros.,Human Interest Comedy,R,3/27/2015,1,Fri,4320,832,1235,53,215,3401,209562,257881,NA,NA,3175,33803253,
Home (2015),20th Century Fox,Family,PG,3/27/2015,1,Fri,NA,NA,NA,NA,NA,NA,208172,319834,NA,NA,3708,52107731,
It Follows,The Weinstein Company,Horror,R,3/27/2015,1,Fri,2718,462,266,32,62,1195,27182,280731,NA,NA,1218,3811052,
Furious 7,Universal,Action Adventure,PG-13,4/3/2015,1,Fri,83152,13484,2817,894,3857,134950,7194282,1284956,NA,NA,4004,147187040,
Danny Collins,Bleecker Street Media,Human Interest Comedy,R,4/10/2015,1,Fri,578,74,138,6,39,278,NA,82700,NA,NA,738,1479158,
The Longest Ride,20th Century Fox,Romantic Drama,PG-13,4/10/2015,1,Fri,9330,2752,430,1127,4882,18691,95691,231634,NA,NA,3366,13019686,
Woman in Gold,The Weinstein Company,Human Interest Drama,PG-13,4/10/2015,1,Fri,1507,138,167,3,71,804,32479,175983,NA,NA,1504,5483125,
Paul Blart: Mall Cop 2,Sony Pictures,Zany Comedy,PG,4/17/2015,1,Fri,2929,487,502,20,573,2750,120878,198415,NA,NA,3633,23762435,
True Story,Fox Searchlight Pictures,Human Interest Drama,R,4/17/2015,1,Fri,NA,NA,NA,NA,NA,NA,326,301920,NA,NA,831,1950214,
Unfriended,Universal,Horror,R,4/17/2015,1,Fri,5691,1212,513,228,255,12356,404157,620172,NA,NA,2739,15845115,
While We're Young,A24 Films,Human Interest Comedy,R,4/17/2015,1,Fri,NA,NA,NA,NA,NA,NA,3328,NA,NA,NA,713,1438384,
Ex Machina,A24 Films,Suspense/Thriller,R,4/24/2015,1,Fri,3432,347,245,17,110,3296,14426,509114,1,NA,1255,5349499,
Little Boy,Sundance Selects,Human Interest Drama,PG-13,4/24/2015,1,Fri,NA,NA,NA,NA,NA,NA,28136,64608,NA,NA,1045,2750356,
The Age of Adaline,Lionsgate Films,Romantic Drama,PG-13,4/24/2015,1,Fri,3639,773,312,79,367,7492,153691,379654,NA,NA,2991,13203458,
Avengers: Age of Ultron,Disney,Action Adventure,PG-13,5/1/2015,1,Fri,277266,40171,14196,1408,16975,351605,634663,4125377,NA,NA,4276,191271109,
Hot Pursuit (2015),Warner Bros.,Action Comedy,PG-13,5/8/2015,1,Fri,2295,379,449,10,1265,3349,94797,165250,NA,NA,3003,13942258,
The D Train,IFC Films,Human Interest Comedy,R,5/8/2015,1,Fri,NA,NA,NA,NA,NA,NA,1253,37182,NA,NA,1009,447524,
Mad Max: Fury Road,Warner Bros.,Action Adventure,R,5/15/2015,1,Fri,28781,4375,2371,173,441,18213,253355,1097729,NA,NA,3702,45428128,
Pitch Perfect 2,Universal,Human Interest Comedy,PG-13,5/15/2015,1,Fri,25145,5554,2891,334,951,30558,700158,660067,NA,NA,3473,69216890,
Disney's Tomorrowland,Disney,Family,PG,5/22/2015,1,Fri,15724,1925,623,143,744,21715,115973,718658,NA,NA,4267,33028165,Memorial Day
Far from the Madding Crowd,Fox Searchlight Pictures,Human Interest Drama,PG-13,5/22/2015,1,Fri,2204,305,216,18,208,1072,13094,12918,NA,NA,865,2287234,Memorial Day
Poltergeist (2015),20th Century Fox,Horror,PG-13,5/22/2015,1,Fri,15549,2310,987,180,218,17701,74355,293756,NA,NA,3240,22620386,Memorial Day
Aloha,Sony Pictures,Romantic Comedy,PG-13,5/29/2015,1,Fri,3597,679,159,19,151,1478,16409,340084,NA,1257703,2815,9670235,
San Andreas,Warner Bros.,Action Adventure,PG-13,5/29/2015,1,Fri,11186,1256,879,91,449,13634,245419,772083,NA,5175248,3777,54588173,
Entourage,Warner Bros.,Human Interest Comedy,R,6/3/2015,1,Wed,12426,2059,1223,124,2014,15125,118345,504272,NA,NA,3108,10283250,
Insidious: Chapter 3,Focus Features,Horror,PG-13,6/5/2015,1,Fri,8584,1275,822,215,207,4362,316309,384377,NA,2210130,3002,22692741,
Spy,20th Century Fox,Action Comedy,R,6/5/2015,1,Fri,20125,3043,1871,80,373,11953,58356,485880,NA,NA,3711,29085719,
Jurassic World,Universal,Action Adventure,PG-13,6/12/2015,1,Fri,135291,18627,6723,1072,4332,221651,457997,1793850,NA,28451141,4274,208806270,
Dope,Open Road Films,Human Interest Comedy,R,6/19/2015,1,Fri,NA,NA,NA,NA,NA,NA,44208,144967,NA,NA,2002,6100010,
Inside Out (2015),Disney,Family,PG,6/19/2015,1,Fri,26734,5250,2357,172,2324,28998,73251,735640,NA,34376934,3946,90440272,
Love & Mercy,Roadside Attractions,Human Interest Drama,PG-13,6/19/2015,1,Fri,NA,NA,NA,NA,NA,NA,17444,172499,NA,NA,791,1748331,
